IRI,ID,LABEL,Type,SubClass Of,SubClasses,Equivalent Class,SubProperty Of,Equivalent Property,Disjoint With
http://purl.obolibrary.org/obo/CHMO_0001235,CHMO:0001235,Raman spectrometer,Class,,,,,,
http://purl.obolibrary.org/obo/IAO_0000140,IAO:0000140,setting datum,Class,,CCD sensor binning read mode setting|device temperature setting|exposure time setting|groove density setting|horizontal shift speed setting|number of scans setting|preamplifier gain setting|vertical shift speed setting|vibrational spectrometer configuration specification,,,,
http://purl.obolibrary.org/obo/NCBITaxon_9606,NCBITaxon:9606,person,Class,organism,,,,,
http://purl.obolibrary.org/obo/OBI_0000654,OBI:0000654,device setting,Class,,Raman spectrometer configuration,,,,
http://purl.obolibrary.org/obo/OBI_0000968,OBI:0000968,device,Class,,diffraction grating,,,,
http://purl.obolibrary.org/obo/OBI_0100026,OBI:0100026,organism,Class,,person,,,,
http://purl.obolibrary.org/obo/PATO_0001018,PATO:0001018,physical quality,Class,,groove density,,,,
http://purl.obolibrary.org/obo/PATO_0001242,PATO:0001242,wavelength,Class,,excitation wavelength,,,,
http://purl.obolibrary.org/obo/VISPRO_0000000,obo:VISPRO_0000000,vibrational spectrometer configuration specification,Class,'has part' some 'CCD sensor binning read mode setting'|'has part' some 'device temperature setting'|'has part' some 'exposure time setting'|'has part' some 'groove density setting'|'has part' some 'horizontal shift speed setting'|'has part' some 'number of scans setting'|'has part' some 'preamplifier gain setting'|'has part' some 'vertical shift speed setting'|'has part' some 'vibrational spectrometer configuration specification'|setting datum,,,,,CCD sensor binning read mode setting|device temperature setting|exposure time setting|groove density setting|horizontal shift speed setting|number of scans setting|preamplifier gain setting|vertical shift speed setting|vibrational spectrometer configuration specification
http://purl.obolibrary.org/obo/VISPRO_0000001,obo:VISPRO_0000001,exposure time setting,Class,setting datum,,,,,CCD sensor binning read mode setting|device temperature setting|exposure time setting|groove density setting|horizontal shift speed setting|number of scans setting|preamplifier gain setting|vertical shift speed setting|vibrational spectrometer configuration specification
http://purl.obolibrary.org/obo/VISPRO_0000002,obo:VISPRO_0000002,preamplifier gain setting,Class,setting datum,,,,,CCD sensor binning read mode setting|device temperature setting|exposure time setting|groove density setting|horizontal shift speed setting|number of scans setting|preamplifier gain setting|vertical shift speed setting|vibrational spectrometer configuration specification
http://purl.obolibrary.org/obo/VISPRO_0000003,obo:VISPRO_0000003,horizontal shift speed setting,Class,setting datum,,,,,CCD sensor binning read mode setting|device temperature setting|exposure time setting|groove density setting|horizontal shift speed setting|number of scans setting|preamplifier gain setting|vertical shift speed setting|vibrational spectrometer configuration specification
http://purl.obolibrary.org/obo/VISPRO_0000004,obo:VISPRO_0000004,vertical shift speed setting,Class,setting datum,,,,,CCD sensor binning read mode setting|device temperature setting|exposure time setting|groove density setting|horizontal shift speed setting|number of scans setting|preamplifier gain setting|vertical shift speed setting|vibrational spectrometer configuration specification
http://purl.obolibrary.org/obo/VISPRO_0000005,obo:VISPRO_0000005,device temperature setting,Class,setting datum,,,,,CCD sensor binning read mode setting|device temperature setting|exposure time setting|groove density setting|horizontal shift speed setting|number of scans setting|preamplifier gain setting|vertical shift speed setting|vibrational spectrometer configuration specification
http://purl.obolibrary.org/obo/VISPRO_0000006,obo:VISPRO_0000006,number of scans setting,Class,setting datum,,,,,CCD sensor binning read mode setting|device temperature setting|exposure time setting|groove density setting|horizontal shift speed setting|number of scans setting|preamplifier gain setting|vertical shift speed setting|vibrational spectrometer configuration specification
http://purl.obolibrary.org/obo/VISPRO_0000007,obo:VISPRO_0000007,groove density setting,Class,setting datum,,,,,CCD sensor binning read mode setting|device temperature setting|exposure time setting|groove density setting|horizontal shift speed setting|number of scans setting|preamplifier gain setting|vertical shift speed setting|vibrational spectrometer configuration specification
http://purl.obolibrary.org/obo/VISPRO_0000008,obo:VISPRO_0000008,CCD sensor binning read mode setting,Class,setting datum,,,,,CCD sensor binning read mode setting|device temperature setting|exposure time setting|groove density setting|horizontal shift speed setting|number of scans setting|preamplifier gain setting|vertical shift speed setting|vibrational spectrometer configuration specification
http://purl.obolibrary.org/obo/VISPRO_0000009,obo:VISPRO_0000009,groove density,Class,'quality of' some 'diffraction grating'|physical quality,,,,,
http://purl.obolibrary.org/obo/VISPRO_0000010,obo:VISPRO_0000010,Raman spectrometer configuration,Class,'has part' some 'excitation wavelength'|'has part' some 'groove density'|device setting,,,,,
http://purl.obolibrary.org/obo/VISPRO_0000011,obo:VISPRO_0000011,excitation wavelength,Class,wavelength,,,,,
http://purl.obolibrary.org/obo/VISPRO_0000012,obo:VISPRO_0000012,diffraction grating,Class,device,,device and ('part of' some 'Raman spectrometer') and ('has quality' some 'groove density'),,,
